mois_1,mois_2,mois_3,mois_4,mois_5,mois_6,mois_7,mois_8,mois_9,mois_10,mois_11,mois_12,numeroJourDansSemaine_1,numeroJourDansSemaine_2,numeroJourDansSemaine_3,numeroJourDansSemaine_4,numeroJourDansSemaine_5,numeroJourDansSemaine_6,event_Aid El Fitr,event_Aid El Kebir,event_Allocation impactante,event_Beaujolais nouveau,event_Chandeleur,event_Fete de la musique,event_J+1 FETES DES MERES,event_J+1 FETES DES PERES,event_J+1 Pont 11 novembre,event_J+1 Pont 14 juillet,event_J+1 Pont 15 aout,event_J+1 Pont 1er mai,event_J+1 Pont 8 mai,event_J+1 Pont Ascension,event_J+1 Pont Nouvel An,event_J+1 Pont Pentecote,event_J+1 Pont Toussaint,event_J+1 Pont paques,event_J+2 EPIPHANIE,event_J+2 FETES DES PERES,event_J+2 Pont 11 novembre,event_J+2 Pont 14 juillet,event_J+2 Pont 15 aout,event_J+2 Pont 1er mai,event_J+2 Pont 8 mai,event_J+2 Pont Ascension,event_J+2 Pont Noel,event_J+2 Pont Nouvel An,event_J+2 Pont Pentecote,event_J+2 Pont Toussaint,event_J+2 Pont paques,event_J-1 BEAUJOLAIS NOUVEAU,event_J-1 Pont 11 novembre,event_J-1 Pont 14 juillet,event_J-1 Pont 15 aout,event_J-1 Pont 1er mai,event_J-1 Pont 8 mai,event_J-1 Pont Ascension,event_J-1 Pont Noel,event_J-1 Pont Nouvel An,event_J-1 Pont Toussaint,event_J-1 Vendredi Saint,event_J-2 NOEL,event_J-2 Nouvel An,event_J-2 Pont 11 novembre,event_J-2 Pont 14 juillet,event_J-2 Pont 15 aout,event_J-2 Pont 1er mai,event_J-2 Pont 8 mai,event_J-2 Pont Ascension,event_J-2 Pont Pentecote,event_J-2 Pont paques,event_J-3 NOEL,event_J-3 Nouvel An,event_J-3 VENDREDI PENTECOTE,event_J-4 NOEL,event_Lundi Juillet Aout,event_Mardi Aout,event_Mardi-Gras,event_Nouvel an chinois,event_Premiere semaine de Septembre,event_Ramadan,event_Saint-Nicolas,event_Saint-Valentin,event_Samedi Aout sauf dernier,holiday_26DEC,holiday_Anniv vic1erG Italie,holiday_Armistice 1918,holiday_Ascension,holiday_Assomption,holiday_Epiphanie Espagne,holiday_Fete constitution Espagne,holiday_Fete nationale,holiday_Fete nationale Belgique,holiday_Fete nationale Espagne,holiday_Fete nationale Luxembourg,holiday_Fete nationale Suisse,holiday_Immac Concep,holiday_Jour unite nationale Allemagne,holiday_Lundi de Pentecote,holiday_Lundi de paques,holiday_Rosenmontag,holiday_Toussaint,holiday_Vacances scolaires,holiday_Vacances scolaires zone B,holiday_Victoire 1945,holiday_vendredi saint,prixVente,temperature,promo,quantiteVendue
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,14.89,0,2248
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,12.23,0,2994
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,15.12,0,3170
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0.0,0,5531
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,24.65,0,2483
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,26.32,0,2321
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,22.78,0,2415
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,20.65,0,2803
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,24.56,0,3033
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,22.78,0,3582
