date,event
2016-06-05,Allocation impactante
2016-06-06,Ramadan
2016-06-20,J+1 FETES DES PERES
2016-06-21,Fete de la musique
2016-06-21,J+2 FETES DES PERES
2016-06-26,Dimanche solde Ete
2016-07-04,Lundi Juillet Aout
2016-07-06,Aid El Fitr
2016-07-11,Lundi Juillet Aout
2016-07-12,J-2 Pont 14 juillet
2016-07-13,J-1 Pont 14 juillet
2016-07-15,J+1 Pont 14 juillet
2016-07-16,J+2 Pont 14 juillet
2016-07-18,Lundi Juillet Aout
2016-07-25,Lundi Juillet Aout
2016-08-01,Lundi Juillet Aout
2016-08-02,Mardi Aout
2016-08-06,Samedi Aout sauf dernier
2016-08-08,Lundi Juillet Aout
2016-08-09,Mardi Aout
2016-08-13,Samedi Aout sauf dernier
2016-08-13,J-2 Pont 15 aout
2016-08-14,J-1 Pont 15 aout
2016-08-15,Lundi Juillet Aout
2016-08-16,J+1 Pont 15 aout
2016-08-16,Mardi Aout
2016-08-17,J+2 Pont 15 aout
2016-08-20,Samedi Aout sauf dernier
2016-08-22,Lundi Juillet Aout
2016-08-23,Mardi Aout
2016-08-29,Lundi Juillet Aout
2016-08-30,Mardi Aout
2016-09-01,Premiere semaine de Septembre
2016-09-02,Premiere semaine de Septembre
2016-09-03,Premiere semaine de Septembre
2016-09-04,Premiere semaine de Septembre
2016-09-05,Premiere semaine de Septembre
2016-09-05,Allocation impactante
2016-09-06,Premiere semaine de Septembre
2016-09-07,Premiere semaine de Septembre
2016-09-12,Aid El Kebir
2016-10-31,J-1 Pont Toussaint
2016-11-02,J+1 Pont Toussaint
2016-11-03,J+2 Pont Toussaint
2016-11-09,J-2 Pont 11 novembre
2016-11-10,J-1 Pont 11 novembre
2016-11-12,J+1 Pont 11 novembre
2016-11-13,J+2 Pont 11 novembre
2016-11-16,J-1 BEAUJOLAIS NOUVEAU
2016-11-17,Beaujolais nouveau
2016-11-27,nov dim der/3 dim dec
2016-12-04,nov dim der/3 dim dec
2016-12-05,Allocation impactante
2016-12-06,Saint-Nicolas
2016-12-11,nov dim der/3 dim dec
2016-12-18,nov dim der/3 dim dec
2016-12-21,J-4 NOEL
2016-12-22,J-3 NOEL
2016-12-23,J-2 NOEL
2016-12-24,J-1 Pont Noel
2016-12-27,J+2 Pont Noel
2016-12-29,J-3 Nouvel An
2016-12-30,J-2 Nouvel An
2016-12-31,J-1 Pont Nouvel An
2017-01-02,J+1 Pont Nouvel An
2017-01-03,J+2 Pont Nouvel An
2017-01-08,Epiphanie
2017-01-10,J+2 EPIPHANIE
2017-01-15,Dimanche solde Hiver
2017-01-28,Nouvel an chinois
2017-02-02,Chandeleur
2017-02-14,Saint-Valentin
2017-02-28,Mardi-Gras
2017-04-13,J-1 Vendredi Saint
2017-04-15,J-2 Pont paques
2017-04-16,J-1 Pont paques
2017-04-18,J+1 Pont paques
2017-04-19,J+2 Pont paques
2017-04-29,J-2 Pont 1er mai
2017-04-30,J-1 Pont 1er mai
2017-05-02,J+1 Pont 1er mai
2017-05-03,J+2 Pont 1er mai
2017-05-06,J-2 Pont 8 mai
2017-05-07,J-1 Pont 8 mai
2017-05-09,J+1 Pont 8 mai
