date,annee,mois,jour,numeroJourDansSemaine,numeroJourDansAnnee,numeroSemaine,numeroMagasin,numeroProduit,prixVente,codeDelaMeteo,temperature,promo,quantiteVendue
2016/6/1,2016,6,1,3,153,201622,2,59885,1.02,500,14.89,0,2248
2016/6/1,2016,6,1,3,153,201622,2,300771,1.82,500,14.89,0,29
2016/6/1,2016,6,1,3,153,201622,2,404707,.00,500,14.89,0,0
2016/6/1,2016,6,1,3,153,201622,2,525562,1.14,500,14.89,0,133
2016/6/1,2016,6,1,3,153,201622,2,721528,.00,500,14.89,0,0
2016/6/1,2016,6,1,3,153,201622,2,726349,.00,500,14.89,0,0
2016/6/1,2016,6,1,3,153,201622,2,889599,.00,500,14.89,0,0
2016/6/1,2016,6,1,3,153,201622,919,59885,1.02,500,14.89,0,941
2016/6/1,2016,6,1,3,153,201622,919,300771,1.87,500,14.89,0,17
2016/6/1,2016,6,1,3,153,201622,919,404707,.00,500,14.89,0,0
2016/6/1,2016,6,1,3,153,201622,919,525562,1.14,500,14.89,0,19
2016/6/1,2016,6,1,3,153,201622,919,721528,.00,500,14.89,0,0
2016/6/1,2016,6,1,3,153,201622,919,726349,.00,500,14.89,0,0
2016/6/1,2016,6,1,3,153,201622,919,889599,.00,500,14.89,0,0
2016/6/2,2016,6,2,4,154,201622,2,59885,1.02,501,12.23,0,2994
2016/6/2,2016,6,2,4,154,201622,2,300771,1.83,501,12.23,0,43
2016/6/2,2016,6,2,4,154,201622,2,404707,.00,501,12.23,0,0
2016/6/2,2016,6,2,4,154,201622,2,525562,1.14,501,12.23,0,122
2016/6/2,2016,6,2,4,154,201622,2,721528,.00,501,12.23,0,0
2016/6/2,2016,6,2,4,154,201622,2,726349,.00,501,12.23,0,0
2016/6/2,2016,6,2,4,154,201622,2,889599,.00,501,12.23,0,0
2016/6/2,2016,6,2,4,154,201622,919,59885,1.02,501,12.23,0,665
2016/6/2,2016,6,2,4,154,201622,919,300771,1.83,501,12.23,0,15
2016/6/2,2016,6,2,4,154,201622,919,404707,.00,501,12.23,0,0
2016/6/2,2016,6,2,4,154,201622,919,525562,1.14,501,12.23,0,11
2016/6/2,2016,6,2,4,154,201622,919,721528,.00,501,12.23,0,0
2016/6/2,2016,6,2,4,154,201622,919,726349,.00,501,12.23,0,0
2016/6/2,2016,6,2,4,154,201622,919,889599,.00,501,12.23,0,0
2016/6/3,2016,6,3,5,155,201622,2,59885,1.02,500,15.12,0,3170
2016/6/3,2016,6,3,5,155,201622,2,300771,1.82,500,15.12,0,45
2016/6/3,2016,6,3,5,155,201622,2,404707,.00,500,15.12,0,0
2016/6/3,2016,6,3,5,155,201622,2,525562,1.14,500,15.12,0,98
2016/6/3,2016,6,3,5,155,201622,2,721528,.00,500,15.12,0,0
2016/6/3,2016,6,3,5,155,201622,2,726349,.00,500,15.12,0,0
2016/6/3,2016,6,3,5,155,201622,2,889599,.00,500,15.12,0,0
2016/6/3,2016,6,3,5,155,201622,919,59885,1.02,500,15.12,0,1076
2016/6/3,2016,6,3,5,155,201622,919,300771,1.84,500,15.12,0,12
2016/6/3,2016,6,3,5,155,201622,919,404707,.00,500,15.12,0,0
2016/6/3,2016,6,3,5,155,201622,919,525562,1.14,500,15.12,0,29
2016/6/3,2016,6,3,5,155,201622,919,721528,.00,500,15.12,0,0
2016/6/3,2016,6,3,5,155,201622,919,726349,.00,500,15.12,0,0
2016/6/3,2016,6,3,5,155,201622,919,889599,.00,500,15.12,0,0
2016/6/4,2016,6,4,6,156,201622,2,59885,1.02,0,,0,5531
2016/6/4,2016,6,4,6,156,201622,2,300771,1.26,0,,0,144
2016/6/4,2016,6,4,6,156,201622,2,404707,.00,0,,0,0
2016/6/4,2016,6,4,6,156,201622,2,525562,1.14,0,,0,178
2016/6/4,2016,6,4,6,156,201622,2,721528,.00,0,,0,0
2016/6/4,2016,6,4,6,156,201622,2,726349,.00,0,,0,0
2016/6/4,2016,6,4,6,156,201622,2,889599,.00,0,,0,0
2016/6/4,2016,6,4,6,156,201622,919,59885,1.02,0,,0,421
2016/6/4,2016,6,4,6,156,201622,919,300771,1.82,0,,0,19
2016/6/4,2016,6,4,6,156,201622,919,404707,.00,0,,0,0
2016/6/4,2016,6,4,6,156,201622,919,525562,1.14,0,,0,23
2016/6/4,2016,6,4,6,156,201622,919,721528,.00,0,,0,0
2016/6/4,2016,6,4,6,156,201622,919,726349,.00,0,,0,0
2016/6/4,2016,6,4,6,156,201622,919,889599,.00,0,,0,0
2016/6/5,2016,6,5,7,157,201622,2,59885,.00,500,21.23,0,0
2016/6/5,2016,6,5,7,157,201622,2,300771,.00,500,21.23,0,0
2016/6/5,2016,6,5,7,157,201622,2,404707,.00,500,21.23,0,0
2016/6/5,2016,6,5,7,157,201622,2,525562,.00,500,21.23,0,0
2016/6/5,2016,6,5,7,157,201622,2,721528,.00,500,21.23,0,0
2016/6/5,2016,6,5,7,157,201622,2,726349,.00,500,21.23,0,0
2016/6/5,2016,6,5,7,157,201622,2,889599,.00,500,21.23,0,0
2016/6/5,2016,6,5,7,157,201622,919,59885,.00,500,21.23,0,0
2016/6/5,2016,6,5,7,157,201622,919,300771,.00,500,21.23,0,0
2016/6/5,2016,6,5,7,157,201622,919,404707,.00,500,21.23,0,0
2016/6/5,2016,6,5,7,157,201622,919,525562,.00,500,21.23,0,0
2016/6/5,2016,6,5,7,157,201622,919,721528,.00,500,21.23,0,0
2016/6/5,2016,6,5,7,157,201622,919,726349,.00,500,21.23,0,0
2016/6/5,2016,6,5,7,157,201622,919,889599,.00,500,21.23,0,0
2016/6/6,2016,6,6,1,158,201623,2,59885,1.02,500,24.65,0,2483
2016/6/6,2016,6,6,1,158,201623,2,300771,1.25,500,24.65,0,40
2016/6/6,2016,6,6,1,158,201623,2,404707,.00,500,24.65,0,0
2016/6/6,2016,6,6,1,158,201623,2,525562,1.14,500,24.65,0,105
2016/6/6,2016,6,6,1,158,201623,2,721528,.00,500,24.65,0,0
2016/6/6,2016,6,6,1,158,201623,2,726349,.00,500,24.65,0,0
2016/6/6,2016,6,6,1,158,201623,2,889599,.00,500,24.65,0,0
2016/6/6,2016,6,6,1,158,201623,919,59885,1.02,500,24.65,0,191
2016/6/6,2016,6,6,1,158,201623,919,300771,1.24,500,24.65,0,30
2016/6/6,2016,6,6,1,158,201623,919,404707,.00,500,24.65,0,0
2016/6/6,2016,6,6,1,158,201623,919,525562,1.14,500,24.65,0,21
2016/6/6,2016,6,6,1,158,201623,919,721528,.00,500,24.65,0,0
2016/6/6,2016,6,6,1,158,201623,919,726349,.00,500,24.65,0,0
2016/6/6,2016,6,6,1,158,201623,919,889599,.00,500,24.65,0,0
2016/6/7,2016,6,7,2,159,201623,2,59885,1.02,500,26.32,0,2321
2016/6/7,2016,6,7,2,159,201623,2,300771,1.18,500,26.32,0,30
2016/6/7,2016,6,7,2,159,201623,2,404707,.00,500,26.32,0,0
2016/6/7,2016,6,7,2,159,201623,2,525562,1.14,500,26.32,0,127
2016/6/7,2016,6,7,2,159,201623,2,721528,.00,500,26.32,0,0
2016/6/7,2016,6,7,2,159,201623,2,726349,.00,500,26.32,0,0
2016/6/7,2016,6,7,2,159,201623,2,889599,.00,500,26.32,0,0
2016/6/7,2016,6,7,2,159,201623,919,59885,1.02,500,26.32,0,677
2016/6/7,2016,6,7,2,159,201623,919,300771,1.21,500,26.32,0,36
2016/6/7,2016,6,7,2,159,201623,919,404707,.00,500,26.32,0,0
2016/6/7,2016,6,7,2,159,201623,919,525562,1.14,500,26.32,0,17
2016/6/7,2016,6,7,2,159,201623,919,721528,.00,500,26.32,0,0
2016/6/7,2016,6,7,2,159,201623,919,726349,.00,500,26.32,0,0
2016/6/7,2016,6,7,2,159,201623,919,889599,.00,500,26.32,0,0
2016/6/8,2016,6,8,3,160,201623,2,59885,1.02,800,22.78,0,2415
2016/6/8,2016,6,8,3,160,201623,2,300771,1.25,800,22.78,0,19
2016/6/8,2016,6,8,3,160,201623,2,404707,.00,800,22.78,0,0
2016/6/8,2016,6,8,3,160,201623,2,525562,1.14,800,22.78,0,143
2016/6/8,2016,6,8,3,160,201623,2,721528,.00,800,22.78,0,0
2016/6/8,2016,6,8,3,160,201623,2,726349,11.99,800,22.78,0,1
