date,Gain
01/06/16,0
01/06/16,0
01/06/16,"564,4"
01/06/16,"2834,46"
01/06/16,"6951,43"
01/06/16,"7515,64"
01/06/16,"9482,47"
01/06/16,"11911,11"
01/06/16,"14593,8"
01/06/16,"13034,33"
01/06/16,"14147,34"
01/06/16,"14763,92"
01/06/16,"15403,94"
01/06/16,"15380,67"
01/06/16,"14070,85"
01/06/16,"13268,18"
01/06/16,"10599,67"
01/06/16,"9199,11"
01/06/16,"9867,69"
01/06/16,"7785,74"
01/06/16,"8952,28"
01/06/16,"9138,1"
01/06/16,"8284,48"
01/06/16,"6677,57"
01/06/16,"9860,27"
01/06/16,"11731,49"
01/06/16,"10443,48"
01/06/16,"12504,18"
01/06/16,"13775,82"
01/06/16,"16481,37"
01/06/16,"16928,65"
01/06/16,"14182,19"
01/06/16,"16046,59"
01/06/16,"18102,68"
01/06/16,"18160,09"
01/06/16,"17291,8"
01/06/16,"15831,08"
01/06/16,"15070,34"
01/06/16,"13495,61"
01/06/16,"14264,27"
01/06/16,"16024,9"
01/06/16,"15470,4"
01/06/16,"15748,07"
01/06/16,"16541,44"
01/06/16,"13303,86"
01/06/16,"13737,11"
01/06/16,"10129,36"
01/06/16,"11301,93"
01/06/16,"9781,15"
01/06/16,"7838,02"
01/06/16,"5280,73"
01/06/16,"4524,66"
01/06/16,"4255,23"
01/06/16,"3374,32"
01/06/16,"1009,87"
02/06/16,0
02/06/16,0
02/06/16,"1471,22"
02/06/16,"2798,28"
02/06/16,"8819,02"
02/06/16,"11651,9"
02/06/16,"13159,14"
02/06/16,"19687,97"
02/06/16,"19317,94"
02/06/16,"16781,28"
02/06/16,"20068,86"
02/06/16,"18849,81"
02/06/16,"16682,57"
02/06/16,"20075,45"
02/06/16,"17894,55"
02/06/16,"14245,7"
02/06/16,"15671,7"
02/06/16,"15117,57"
02/06/16,"12427,06"
02/06/16,"11555,09"
02/06/16,"11851,38"
02/06/16,"12882,46"
02/06/16,"10153,84"
02/06/16,"11144,29"
02/06/16,"12078,99"
02/06/16,"11400,4"
02/06/16,"15350,81"
02/06/16,"14373,81"
02/06/16,"16196,86"
02/06/16,"15068,67"
02/06/16,"17004,6"
02/06/16,"15125,03"
02/06/16,"16715,83"
02/06/16,"14661,2"
02/06/16,"15549,2"
02/06/16,"13556,78"
02/06/16,"12294,09"
