ID_DAY,ID_HOLIDAY_TYP,DS_HOLIDAY_TYP
2013-07-12,51,Vacances scolaires
2019-02-22,55,Vacances scolaires zone A
2013-05-04,58,Vacances scolaires zone A
2016-10-12,22,F�te nationale Espagne
2013-07-29,51,Vacances scolaires
2013-05-01,4,F�te du travail
2010-04-27,60,Vacances scolaires zone C
2019-07-28,51,Vacances scolaires
2012-02-27,57,Vacances scolaires zone C
2016-07-07,51,Vacances scolaires
2017-10-25,52,Vacances scolaires
2017-07-24,51,Vacances scolaires
2012-07-22,51,Vacances scolaires
2017-04-01,60,Vacances scolaires zone C
2016-07-19,51,Vacances scolaires
2012-03-02,57,Vacances scolaires zone C
2010-08-07,51,Vacances scolaires
2015-12-20,53,Vacances scolaires
2018-10-28,52,Vacances scolaires
2013-05-10,60,Vacances scolaires zone C
2015-07-31,51,Vacances scolaires
2015-12-06,23,F�te constitution Espagne
2018-04-25,59,Vacances scolaires zone B
2012-08-31,51,Vacances scolaires
2009-07-10,51,Vacances scolaires
2018-07-26,51,Vacances scolaires
2018-12-29,53,Vacances scolaires
2017-10-21,52,Vacances scolaires
2015-12-26,16,26DEC
2018-02-20,55,Vacances scolaires zone A
2013-07-30,51,Vacances scolaires
2012-08-02,51,Vacances scolaires
2019-04-25,58,Vacances scolaires zone A
2010-07-24,51,Vacances scolaires
2009-04-10,58,Vacances scolaires zone A
2010-04-06,59,Vacances scolaires zone B
2014-01-06,25,Epiphanie Espagne
2012-08-18,51,Vacances scolaires
2010-08-18,51,Vacances scolaires
2017-12-24,53,Vacances scolaires
2012-08-14,51,Vacances scolaires
2012-02-28,56,Vacances scolaires zone B
2010-01-01,1,Nouvel An
2012-03-11,56,Vacances scolaires zone B
2014-09-01,51,Vacances scolaires
2016-02-16,56,Vacances scolaires zone B
2018-07-23,51,Vacances scolaires
2016-07-16,51,Vacances scolaires
2019-08-19,51,Vacances scolaires
2010-12-08,21,Immac Concep
2018-02-11,55,Vacances scolaires zone A
2013-10-19,52,Vacances scolaires
2011-04-14,60,Vacances scolaires zone C
2013-02-26,56,Vacances scolaires zone B
2014-05-06,58,Vacances scolaires zone A
2013-08-10,51,Vacances scolaires
2017-03-03,55,Vacances scolaires zone A
2013-04-24,58,Vacances scolaires zone A
2009-04-22,59,Vacances scolaires zone B
2017-02-18,55,Vacances scolaires zone A
2012-07-11,51,Vacances scolaires
2009-12-19,53,Vacances scolaires
2017-02-26,55,Vacances scolaires zone A
2010-12-18,53,Vacances scolaires
2017-03-01,55,Vacances scolaires zone A
2019-08-28,51,Vacances scolaires
2018-05-03,59,Vacances scolaires zone B
2010-08-06,51,Vacances scolaires
2010-04-29,60,Vacances scolaires zone C
2010-07-04,51,Vacances scolaires
2009-08-08,51,Vacances scolaires
2014-04-15,60,Vacances scolaires zone C
2015-12-25,13,No�l
2015-08-26,51,Vacances scolaires
2016-08-23,51,Vacances scolaires
2019-03-05,57,Vacances scolaires zone C
2016-04-07,59,Vacances scolaires zone B
2017-06-23,18,F�te nationale Luxembourg
2016-08-01,51,Vacances scolaires
2018-07-08,51,Vacances scolaires
2013-07-16,51,Vacances scolaires
2016-01-01,53,Vacances scolaires
2010-04-12,58,Vacances scolaires zone A
2011-10-29,52,Vacances scolaires
2010-08-27,51,Vacances scolaires
2009-11-02,52,Vacances scolaires
2017-04-15,59,Vacances scolaires zone B
2009-02-22,56,Vacances scolaires zone B
2018-08-11,51,Vacances scolaires
2013-09-01,51,Vacances scolaires
2011-07-08,51,Vacances scolaires
2012-07-21,17,F�te nationale Belgique
2017-04-09,60,Vacances scolaires zone C
2013-07-27,51,Vacances scolaires
