iter	MAPE	RMSE
0	0.9686490521	483.1344611
1	0.9380830588	469.8250633
2	0.9084185612	456.9323708
3	0.8797628653	444.446491
4	0.8518251289	432.3472894
5	0.8248349952	420.632717
6	0.7985236526	409.2832779
7	0.7729882755	398.2956544
8	0.7483188944	387.6568186
9	0.7243753518	377.3602113
10	0.7010387514	367.3892484
11	0.6783903466	357.741759
12	0.6564098397	348.4088464
13	0.6350775316	339.3818717
14	0.6144688538	330.640772
15	0.5945021568	322.1961483
16	0.575287463	314.0218311
17	0.5565531538	306.1280101
18	0.5383713704	298.5004963
19	0.5207258151	291.1320119
20	0.5036855573	284.059997
21	0.4872700954	277.1633503
22	0.4714869538	270.5655742
23	0.456561044	264.1341783
24	0.4420268325	257.9547063
25	0.4281475463	251.9670267
26	0.4146612321	246.2394621
27	0.4016375971	240.6882455
28	0.3892855407	235.3625894
29	0.3776367773	230.1796312
30	0.3664605994	225.232953
31	0.3557491264	220.42283
32	0.3455881065	215.8344927
33	0.3360589376	211.3697513
34	0.3270224625	207.1191666
35	0.3184144262	202.9868224
36	0.3098962792	199.0066657
37	0.3020724772	195.1846015
38	0.2945954248	191.5493031
39	0.2876965738	188.0173338
40	0.2810352663	184.6384391
41	0.2747312524	181.3810701
42	0.2687913716	178.2576322
43	0.263196538	175.2703255
44	0.2579868572	172.4061019
45	0.253108191	169.677324
46	0.2484714154	167.0486711
47	0.2441546954	164.5452253
48	0.2401092638	162.1164134
49	0.2363320877	159.7942037
50	0.2327471399	157.5781107
51	0.22966773	155.4542265
52	0.2268333013	153.4267003
53	0.2240573593	151.5087289
54	0.2214677855	149.6522275
55	0.2189706504	147.9058486
56	0.2166731806	146.2585294
57	0.2145877878	144.6878556
58	0.2126620555	143.1338511
59	0.2109302624	141.655369
60	0.2094218202	140.2602551
61	0.2081048183	138.9632381
62	0.2068078271	137.6849754
63	0.2056828315	136.4680195
64	0.2046089048	135.3105526
65	0.2036172261	134.2172233
66	0.2026502406	133.190184
67	0.2018240814	132.198072
68	0.2010801123	131.2421951
69	0.2003508912	130.3442684
70	0.1996791557	129.4918975
