iter	Passed	Remaining
0	12	12822
1	21	10564
2	27	8990
3	31	7910
4	35	7149
5	39	6548
6	43	6107
7	47	5890
8	51	5629
9	54	5407
10	58	5224
11	61	5070
12	65	4952
13	68	4848
14	72	4751
15	75	4662
16	79	4592
17	83	4554
18	87	4510
19	90	4450
20	94	4390
21	97	4335
22	100	4277
23	103	4219
24	106	4166
25	110	4121
26	113	4081
27	116	4039
28	119	4001
29	122	3963
30	125	3936
31	129	3914
32	132	3887
33	135	3858
34	138	3831
35	142	3812
36	145	3789
37	148	3765
38	151	3742
39	155	3723
40	158	3705
41	161	3685
42	164	3667
43	168	3650
44	171	3632
45	174	3614
46	177	3596
47	180	3580
48	183	3563
49	186	3548
50	189	3533
51	192	3518
52	196	3503
53	199	3489
54	202	3475
55	205	3462
56	208	3449
57	211	3436
58	214	3425
59	217	3413
60	221	3402
61	224	3391
62	227	3380
63	230	3372
64	233	3365
65	237	3356
66	240	3347
67	243	3337
68	246	3328
69	249	3318
70	252	3308
71	256	3299
72	259	3290
73	262	3281
74	265	3273
75	268	3264
76	271	3256
77	274	3248
78	277	3239
79	280	3230
80	283	3222
81	287	3213
82	290	3205
83	293	3197
84	296	3189
85	299	3180
86	302	3172
87	305	3165
88	308	3158
89	311	3152
90	314	3145
91	318	3138
92	321	3136
93	325	3136
94	328	3130
95	331	3124
96	335	3118
97	338	3114
98	341	3108
99	344	3101
100	347	3094
101	350	3088
102	353	3081
103	356	3074
104	359	3067
105	362	3061
106	366	3054
107	369	3048
108	372	3042
109	375	3036
110	378	3030
111	381	3025
112	384	3019
113	387	3014
114	390	3008
115	393	3002
116	397	3000
117	400	2996
118	404	2991
119	407	2986
120	410	2981
121	413	2976
122	416	2971
123	419	2966
124	422	2960
125	426	2955
126	429	2950
127	432	2945
128	435	2939
129	438	2934
130	441	2930
131	446	2934
132	451	2940
133	455	2941
134	459	2944
135	463	2942
136	466	2938
137	469	2933
138	473	2934
139	477	2932
140	480	2928
141	484	2925
142	488	2924
143	491	2922
144	494	2918
145	498	2915
146	501	2911
147	504	2906
148	508	2902
149	511	2897
150	514	2892
151	517	2887
152	520	2882
153	523	2877
154	526	2872
155	530	2867
156	533	2863
157	536	2858
158	539	2852
159	542	2847
160	545	2843
161	550	2845
162	553	2841
163	556	2836
164	559	2831
165	563	2829
166	566	2825
167	569	2820
168	572	2815
169	575	2811
170	579	2808
171	582	2804
172	585	2800
173	589	2796
174	592	2791
175	595	2786
176	598	2781
177	601	2776
178	604	2771
179	607	2767
180	610	2762
181	613	2757
182	616	2752
183	619	2747
184	622	2743
185	626	2739
186	629	2735
187	632	2731
188	635	2727
189	639	2724
190	642	2721
191	646	2719
192	650	2720
193	654	2718
194	657	2714
195	660	2710
196	664	2709
197	668	2706
198	671	2702
199	674	2698
200	677	2695
201	682	2694
202	686	2694
203	689	2691
204	692	2686
205	696	2683
206	699	2678
207	702	2674
208	705	2670
209	708	2665
210	711	2661
211	714	2657
212	718	2652
213	721	2648
214	724	2646
215	727	2642
216	730	2637
217	734	2633
218	737	2628
219	740	2625
220	743	2621
221	746	2617
222	750	2613
223	753	2609
224	756	2605
225	759	2601
226	762	2596
227	765	2592
228	768	2587
229	771	2583
230	774	2579
231	777	2574
232	780	2570
233	783	2565
234	787	2562
235	790	2558
236	793	2554
237	796	2549
238	799	2545
239	802	2541
240	805	2537
241	808	2533
242	811	2529
243	814	2524
244	817	2520
245	821	2516
246	824	2512
247	827	2508
248	830	2505
249	833	2501
250	837	2498
251	840	2494
252	843	2489
253	846	2486
254	849	2483
255	852	2479
256	856	2474
257	859	2471
258	862	2467
259	865	2462
260	868	2458
261	871	2454
262	874	2450
263	877	2446
264	880	2442
265	883	2438
266	886	2434
267	889	2430
268	893	2427
269	896	2423
270	899	2419
271	902	2415
272	905	2411
273	908	2407
274	911	2403
275	914	2399
